time,value,gdp,cpi,wti,dubai,brent,ex_chi,ex_us,mers,thaad,sd1,sd2,sd3
Q1 1998,45333 ,1805 ,64 ,16 ,12 ,14 ,,1606 ,0 ,0 ,0 ,0 ,0 
Q2 1998,48831 ,2030 ,65 ,14 ,12 ,12 ,,1395 ,0 ,0 ,1 ,0 ,0 
Q3 1998,55264 ,2178 ,65 ,16 ,14 ,15 ,,1325 ,0 ,0 ,0 ,1 ,0 
Q4 1998,61234 ,2507 ,65 ,12 ,10 ,11 ,,1280 ,0 ,0 ,0 ,0 ,1 
Q1 1999,65261 ,1936 ,65 ,17 ,15 ,15 ,,1199 ,0 ,0 ,0 ,0 ,0 
Q2 1999,77774 ,2157 ,65 ,19 ,17 ,17 ,,1191 ,0 ,0 ,1 ,0 ,0 
Q3 1999,87799 ,2305 ,65 ,25 ,23 ,23 ,,1194 ,0 ,0 ,0 ,1 ,0 
Q4 1999,85805 ,2658 ,66 ,26 ,23 ,25 ,,1174 ,0 ,0 ,0 ,0 ,1 
Q1 2000,99360 ,2133 ,66 ,27 ,24 ,24 ,,1125 ,0 ,0 ,0 ,0 ,0 
Q2 2000,112912 ,2404 ,66 ,33 ,28 ,31 ,,1116 ,0 ,0 ,1 ,0 ,0 
Q3 2000,123924 ,2571 ,67 ,31 ,28 ,29 ,,1115 ,0 ,0 ,0 ,1 ,0 
Q4 2000,106598 ,2919 ,67 ,27 ,20 ,23 ,,1164 ,0 ,0 ,0 ,0 ,1 
Q1 2001,106977 ,2409 ,69 ,26 ,23 ,24 ,,1272 ,0 ,0 ,0 ,0 ,0 
Q2 2001,118539 ,2673 ,69 ,26 ,24 ,26 ,,1306 ,0 ,0 ,1 ,0 ,0 
Q3 2001,132401 ,2833 ,70 ,23 ,22 ,22 ,,1294 ,0 ,0 ,0 ,1 ,0 
Q4 2001,124310 ,3172 ,70 ,20 ,18 ,19 ,,1292 ,0 ,0 ,0 ,0 ,1 
Q1 2002,119189 ,2630 ,70 ,26 ,24 ,26 ,,1320 ,0 ,0 ,0 ,0 ,0 
Q2 2002,144833 ,2919 ,71 ,27 ,25 ,25 ,,1271 ,0 ,0 ,1 ,0 ,0 
Q3 2002,139555 ,3126 ,71 ,30 ,27 ,29 ,,1196 ,0 ,0 ,0 ,1 ,0 
Q4 2002,135889 ,3497 ,72 ,31 ,26 ,30 ,,1221 ,0 ,0 ,0 ,0 ,1 
Q1 2003,123600 ,2983 ,73 ,31 ,25 ,28 ,,1201 ,0 ,0 ,0 ,0 ,0 
Q2 2003,78824 ,3254 ,74 ,30 ,26 ,28 ,,1210 ,0 ,0 ,1 ,0 ,0 
Q3 2003,148926 ,3529 ,74 ,29 ,26 ,28 ,,1176 ,0 ,0 ,0 ,1 ,0 
Q4 2003,161418 ,3977 ,74 ,33 ,28 ,30 ,,1181 ,0 ,0 ,0 ,0 ,1 
Q1 2004,142280 ,3454 ,75 ,36 ,31 ,32 ,,1172 ,0 ,0 ,0 ,0 ,0 
Q2 2004,159049 ,3870 ,76 ,37 ,31 ,34 ,,1162 ,0 ,0 ,1 ,0 ,0 
Q3 2004,166692 ,4186 ,77 ,50 ,38 ,47 ,,1155 ,0 ,0 ,0 ,1 ,0 
Q4 2004,159243 ,4674 ,77 ,43 ,33 ,40 ,,1094 ,0 ,0 ,0 ,0 ,1 
Q1 2005,150361 ,4045 ,78 ,55 ,46 ,53 ,123 ,1022 ,0 ,0 ,0 ,0 ,0 
Q2 2005,172131 ,4479 ,78 ,57 ,52 ,55 ,122 ,1008 ,0 ,0 ,1 ,0 ,0 
Q3 2005,200584 ,4805 ,79 ,66 ,56 ,63 ,126 ,1029 ,0 ,0 ,0 ,1 ,0 
Q4 2005,187167 ,5402 ,79 ,61 ,53 ,59 ,128 ,1037 ,0 ,0 ,0 ,0 ,1 
Q1 2006,180084 ,4708 ,80 ,67 ,59 ,65 ,121 ,978 ,0 ,0 ,0 ,0 ,0 
Q2 2006,227309 ,5267 ,80 ,74 ,67 ,73 ,119 ,950 ,0 ,0 ,1 ,0 ,0 
Q3 2006,267884 ,5606 ,81 ,63 ,57 ,61 ,120 ,955 ,0 ,0 ,0 ,1 ,0 
Q4 2006,221692 ,6362 ,80 ,61 ,57 ,60 ,119 ,938 ,0 ,0 ,0 ,0 ,1 
Q1 2007,207660 ,5718 ,81 ,66 ,63 ,68 ,121 ,939 ,0 ,0 ,0 ,0 ,0 
Q2 2007,245802 ,6481 ,82 ,71 ,66 ,73 ,121 ,929 ,0 ,0 ,1 ,0 ,0 
Q3 2007,321494 ,6952 ,83 ,82 ,77 ,79 ,123 ,928 ,0 ,0 ,0 ,1 ,0 
Q4 2007,293969 ,7872 ,83 ,96 ,89 ,94 ,123 ,921 ,0 ,0 ,0 ,0 ,1 
Q1 2008,294962 ,6941 ,84 ,102 ,98 ,100 ,134 ,956 ,0 ,0 ,0 ,0 ,0 
Q2 2008,264291 ,7877 ,86 ,140 ,137 ,139 ,147 ,1017 ,0 ,0 ,1 ,0 ,0 
Q3 2008,329091 ,8254 ,87 ,101 ,91 ,97 ,156 ,1063 ,0 ,0 ,0 ,1 ,0 
Q4 2008,279547 ,8879 ,87 ,45 ,37 ,42 ,200 ,1363 ,0 ,0 ,0 ,0 ,1 
Q1 2009,332901 ,7405 ,88 ,50 ,47 ,48 ,207 ,1415 ,0 ,0 ,0 ,0 ,0 
Q2 2009,272094 ,8398 ,88 ,70 ,72 ,68 ,188 ,1289 ,0 ,0 ,1 ,0 ,0 
Q3 2009,394707 ,9001 ,89 ,71 ,66 ,68 ,181 ,1241 ,0 ,0 ,0 ,1 ,0 
Q4 2009,342615 ,10103 ,89 ,79 ,78 ,77 ,171 ,1169 ,0 ,0 ,0 ,0 ,1 
Q1 2010,373280 ,8762 ,90 ,84 ,79 ,81 ,167 ,1144 ,0 ,0 ,0 ,0 ,0 
Q2 2010,451865 ,9953 ,91 ,76 ,73 ,74 ,171 ,1163 ,0 ,0 ,1 ,0 ,0 
Q3 2010,613371 ,10624 ,91 ,80 ,77 ,81 ,175 ,1186 ,0 ,0 ,0 ,1 ,0 
Q4 2010,436641 ,11964 ,92 ,91 ,89 ,94 ,170 ,1133 ,0 ,0 ,0 ,0 ,1 
Q1 2011,434207 ,10464 ,94 ,107 ,109 ,117 ,170 ,1120 ,0 ,0 ,0 ,0 ,0 
Q2 2011,485730 ,11917 ,94 ,95 ,106 ,112 ,167 ,1084 ,0 ,0 ,1 ,0 ,0 
Q3 2011,752334 ,12698 ,95 ,79 ,101 ,104 ,169 ,1083 ,0 ,0 ,0 ,1 ,0 
Q4 2011,547925 ,13850 ,96 ,99 ,105 ,108 ,180 ,1145 ,0 ,0 ,0 ,0 ,1 
Q1 2012,524503 ,11759 ,96 ,103 ,120 ,124 ,179 ,1131 ,0 ,0 ,0 ,0 ,0 
Q2 2012,667035 ,13168 ,97 ,85 ,93 ,97 ,182 ,1152 ,0 ,0 ,1 ,0 ,0 
Q3 2012,965384 ,13862 ,97 ,92 ,111 ,113 ,178 ,1134 ,0 ,0 ,0 ,1 ,0 
Q4 2012,679970 ,15247 ,97 ,92 ,107 ,112 ,174 ,1091 ,0 ,0 ,0 ,0 ,1 
Q1 2013,722548 ,12975 ,98 ,97 ,107 ,109 ,174 ,1084 ,0 ,0 ,0 ,0 ,0 
Q2 2013,1012823 ,14397 ,98 ,97 ,100 ,102 ,183 ,1122 ,0 ,0 ,1 ,0 ,0 
Q3 2013,1695563 ,15291 ,98 ,102 ,105 ,109 ,181 ,1112 ,0 ,0 ,0 ,1 ,0 
Q4 2013,895935 ,16863 ,98 ,98 ,108 ,111 ,174 ,1062 ,0 ,0 ,0 ,0 ,1 
Q1 2014,1046771 ,14062 ,99 ,102 ,105 ,107 ,175 ,1069 ,0 ,0 ,0 ,0 ,0 
Q2 2014,1622830 ,15646 ,99 ,105 ,109 ,112 ,165 ,1030 ,0 ,0 ,1 ,0 ,0 
Q3 2014,2013814 ,16571 ,100 ,91 ,96 ,93 ,167 ,1026 ,0 ,0 ,0 ,1 ,0 
Q4 2014,1443450 ,18118 ,99 ,53 ,54 ,56 ,177 ,1087 ,0 ,0 ,0 ,0 ,1 
Q1 2015,1426262 ,15099 ,100 ,48 ,53 ,53 ,176 ,1100 ,0 ,0 ,0 ,0 ,0 
Q2 2015,1574788 ,16850 ,100 ,59 ,61 ,61 ,177 ,1098 ,1 ,0 ,1 ,0 ,0 
Q3 2015,1360149 ,17671 ,100 ,45 ,44 ,47 ,185 ,1168 ,1 ,0 ,0 ,1 ,0 
Q4 2015,1622971 ,19285 ,100 ,37 ,32 ,36 ,180 ,1158 ,0 ,0 ,0 ,0 ,1 
Q1 2016,1670060 ,16146 ,101 ,38 ,35 ,39 ,183 ,1201 ,0 ,0 ,0 ,0 ,0 
Q2 2016,2146696 ,18062 ,101 ,48 ,47 ,48 ,178 ,1163 ,0 ,0 ,1 ,0 ,0 
Q3 2016,2517556 ,19036 ,101 ,48 ,45 ,48 ,168 ,1121 ,0 ,0 ,0 ,1 ,0 
Q4 2016,1733410 ,21115 ,102 ,54 ,54 ,55 ,169 ,1157 ,0 ,0 ,0 ,0 ,1 
Q1 2017,1516815 ,18039 ,103 ,51 ,51 ,53 ,168 ,1154 ,0 ,1 ,0 ,0 ,0 
Q2 2017,736100 ,20056 ,103 ,46 ,47 ,48 ,165 ,1129 ,0 ,1 ,1 ,0 ,0 
Q3 2017,939333 ,21160 ,103 ,52 ,56 ,57 ,170 ,1132 ,0 ,1 ,0 ,1 ,0 
Q4 2017,977105 ,23458 ,103 ,60 ,64 ,67 ,167 ,1106 ,0 ,1 ,0 ,0 ,1 
Q1 2018,1053881 ,19878 ,104 ,65 ,66 ,69 ,169 ,1072 ,0 ,1 ,0 ,0 ,0 
Q2 2018,1116717 ,,104 ,74 ,76 ,79 ,169 ,1079 ,0 ,1 ,1 ,0 ,0 
Q3 2018,1323072 ,,105 ,73 ,80 ,83 ,165 ,1122 ,0 ,1 ,0 ,1 ,0 
,,,,,,,,,0 ,1 ,0 ,0 ,1 
,,,,,,,,,0 ,1 ,0 ,0 ,0 
,,,,,,,,,0 ,1 ,1 ,0 ,0 
,,,,,,,,,0 ,1 ,0 ,1 ,0 
,,,,,,,,,0 ,1 ,0 ,0 ,1 
,,,,,,,,,0 ,1 ,0 ,0 ,0 
,,,,,,,,,0 ,1 ,1 ,0 ,0 
,,,,,,,,,0 ,1 ,0 ,1 ,0 
,,,,,,,,,0 ,1 ,0 ,0 ,1 
,,,,,,,,,0 ,1 ,0 ,0 ,0 
,,,,,,,,,0 ,1 ,1 ,0 ,0 
,,,,,,,,,0 ,1 ,0 ,1 ,0 
,,,,,,,,,0 ,1 ,0 ,0 ,1 
,,,,,,,,,0 ,1 ,0 ,0 ,0 
,,,,,,,,,0 ,1 ,1 ,0 ,0 
,,,,,,,,,0 ,1 ,0 ,1 ,0 
,,,,,,,,,0 ,1 ,0 ,0 ,1 
,,,,,,,,,0 ,1 ,0 ,0 ,0 
,,,,,,,,,0 ,1 ,1 ,0 ,0 
,,,,,,,,,0 ,1 ,0 ,1 ,0 
,,,,,,,,,0 ,1 ,0 ,0 ,1 
,,,,,,,,,0 ,1 ,0 ,0 ,0 
,,,,,,,,,0 ,1 ,1 ,0 ,0 
,,,,,,,,,0 ,1 ,0 ,1 ,0 
,,,,,,,,,0 ,1 ,0 ,0 ,1 
,,,,,,,,,0 ,1 ,0 ,0 ,0 
,,,,,,,,,0 ,1 ,1 ,0 ,0 
,,,,,,,,,0 ,1 ,0 ,1 ,0 
,,,,,,,,,0 ,1 ,0 ,0 ,1 
